,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Massa_rijklaar,Datum_eerste_toelating,Brandstof_omschrijving,Datum_eerste_toelating_maand
459,J031PN,Personenauto,AUDI,A3 SPORTBACK G-TRON,1355,2018-01-02,CNG,2018-05
486,J582ZN,Personenauto,AUDI,A3 SPORTBACK G-TRON,1355,2018-01-02,CNG,2018-05
757,N998GR,Personenauto,AUDI,A3 SPORTBACK G-TRON,1355,2018-01-02,CNG,2018-07
1150,RH166X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1151,RH167X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1152,RH168X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1153,RH169X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1154,RH170X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1155,RH171X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1156,RH172X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1157,RH173X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1158,RH174X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1159,RH175X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1160,RH176X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1161,RH177X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1162,RH178X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1163,RH179X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1164,RH180X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1165,RH181X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1166,RH182X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1167,RH183X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1168,RH184X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1169,RH185X,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-11
1340,RJ358S,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-12
1341,RJ359S,Personenauto,MERCEDES-BENZ,SPRINTER,2891,2018-01-02,CNG,2018-12
5201,VFH69F,Bedrijfsauto,FIAT,FIAT FIORINO,1255,2018-01-02,CNG,
10841,RL036R,Personenauto,VOLKSWAGEN,UP!,1033,2018-01-04,CNG,
10844,RL037R,Personenauto,VOLKSWAGEN,UP!,1033,2018-01-04,CNG,
10847,RL038R,Personenauto,VOLKSWAGEN,UP!,1033,2018-01-04,CNG,
18869,V609KG,Bedrijfsauto,IVECO,40C14N,2895,2018-01-05,CNG,
19071,V916KN,Bedrijfsauto,FIAT,FIAT DUCATO,2480,2018-01-05,CNG,
23563,V319KS,Bedrijfsauto,IVECO,35S14N,2968,2018-01-08,CNG,
23690,V652KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23692,V655KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23694,V656KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23695,V657KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23696,V658KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23703,V666KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23705,V667KK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2481,2018-01-08,CNG,
23767,V793KL,Bedrijfsauto,VOLKSWAGEN,CADDY,1576,2018-01-08,CNG,
23768,V794KL,Bedrijfsauto,VOLKSWAGEN,CADDY,1576,2018-01-08,CNG,
24147,H021XJ,Personenauto,VOLKSWAGEN,GOLF,1317,2018-01-09,CNG,
24315,L391RX,Personenauto,AUDI,A5 SPORTBACK G-TRON,1655,2018-01-09,CNG,
26353,RR992Z,Personenauto,MERCEDES-BENZ,SPRINTER,2870,2018-01-09,CNG,
26358,RS058B,Personenauto,MERCEDES-BENZ,SPRINTER,2870,2018-01-09,CNG,
26359,RS227B,Personenauto,MERCEDES-BENZ,SPRINTER,2870,2018-01-09,CNG,
26360,RS419B,Personenauto,MERCEDES-BENZ,SPRINTER,2870,2018-01-09,CNG,
26552,V153LD,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2987,2018-01-09,CNG,
29725,V619LD,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,2945,2018-01-10,CNG,
33077,V452KH,Bedrijfsauto,VOLKSWAGEN,CADDY,1566,2018-01-11,CNG,
37943,V357KX,Bedrijfsauto,FIAT,FIAT DUCATO,2480,2018-01-12,CNG,
39871,K047TV,Personenauto,VOLKSWAGEN,POLO,1260,2018-01-15,CNG,
40344,RL153R,Personenauto,VOLKSWAGEN,UP!,1033,2018-01-15,CNG,
44920,41BRT9,Bedrijfsauto,IVECO,50C14N,2920,2018-01-17,CNG,
45472,RJ468D,Personenauto,SKODA,CITIGO,1033,2018-01-17,CNG,
45473,RJ469D,Personenauto,SKODA,CITIGO,1033,2018-01-17,CNG,
45474,RJ470D,Personenauto,SKODA,CITIGO,1033,2018-01-17,CNG,
45475,RJ471D,Personenauto,SKODA,CITIGO,1033,2018-01-17,CNG,
45476,RJ472D,Personenauto,SKODA,CITIGO,1033,2018-01-17,CNG,
