,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Massa_rijklaar,Datum_eerste_toelating,Brandstof_omschrijving,Datum_eerste_toelating_maand
23924,ZH603H,Personenauto,HYUNDAI,IX35,1921,2018-01-08,Waterstof,
95498,P463RL,Personenauto,TOYOTA,MIRAI,1925,2018-02-07,Waterstof,
155210,N215RK,Personenauto,TOYOTA,MIRAI,1925,2018-03-07,Waterstof,
203196,J954DT,Personenauto,TOYOTA,MIRAI,1925,2018-03-29,Waterstof,
401052,H367FP,Personenauto,TOYOTA,MIRAI,1925,2018-06-22,Waterstof,
448683,N105GN,Personenauto,TOYOTA,MIRAI,1867,2018-07-01,Waterstof,
455847,J651RH,Personenauto,HYUNDAI,NEXO,1889,2018-07-05,Waterstof,
500615,K275ZT,Personenauto,TOYOTA,MIRAI,1925,2018-07-27,Waterstof,
513405,N216RK,Personenauto,TOYOTA,MIRAI,1925,2018-08-01,Waterstof,
636505,J949DT,Personenauto,TOYOTA,MIRAI,1925,2018-10-05,Waterstof,
748706,H368FP,Personenauto,TOYOTA,MIRAI,1925,2018-12-12,Waterstof,
760286,N331BH,Personenauto,TOYOTA,MIRAI,1925,2018-12-21,Waterstof,
838780,XL026F,Personenauto,TOYOTA,TOYOTA MIRAI,1925,2019-01-29,Waterstof,
897295,J046SJ,Personenauto,HYUNDAI,NEXO,1885,2019-02-28,Waterstof,
